ID	type	address	area	rooms	sqm_price	description
1	building	"aleja Piłsudskiego 28
10-634 Racibórz"	76	6	5776	Zysk róg sok kostka m.in. pewny kształt. Związek cień Żyd.
2	flat	"pl. Sikorskiego 607
72-514 Swarzędz"	25	2	10283	Gdyby umożliwiać futro lekcja religijny. Nad las zdjęcie. Szczególny terytorium z.
3	building	"pl. Wieniawskiego 75
76-717 Wągrowiec"	128	8	7021	Kłaść okres dziesięć rodzic ?. Ziemia praktyka podobny Belgia.
4	flat	"ul. Wodna 63
95-238 Mikołów"	63	5	7409	Właśnie jaki tani miasto podstawowy.
5	building	"al. Szewska 82
88-688 Zgierz"	75	5	7549	Trochę obrona luty niż metoda.
6	building	"ulica Matejki 96
40-399 Piastów"	144	9	9524	Ogromny wykonywanie rower widoczny. Pracować okno bycie ślub siostra.
7	flat	"plac Poziomkowa 44/49
06-505 Dębica"	64	5	7573	Przedstawiciel parlament być. Wpaść krzesło napój nauczycielka uciec przygotować.
8	flat	"plac Szpitalna 253
89-412 Kołobrzeg"	64	5	8144	"Gęś rodowity dokument mały. W Czasie prosić postępować tamten marzec.
Pojazd dzielnica maj."
9	building	"ul. Księżycowa 54
37-215 Katowice"	107	7	9071	Koszula 2 słyszeć kot skała tworzyć styczeń odczuwać. Około świecić pszczoła.
10	flat	"pl. Perłowa 80/09
09-752 Wejherowo"	61	5	11031	Panna autor pochodzenie siła broń. Rodzaj minerał adres skład uzyskać. Pożar królestwo obraz Jan.
11	building	"ulica Skośna 55/67
41-562 Jaworzno"	82	5	5946	Dopływ większy te naczynie raz. Martwy powiat z krwi i kości intensywny polityka już drzewo.
12	building	"ul. Fabryczna 86/40
89-490 Radom"	116	9	9473	Dół ilość nieść pójść rzadki wyścig dziecko. Biec kształt okno rok śpiewać sierpień.
13	building	"plac Wąska 80
95-459 Pruszcz Gdański"	96	6	7742	Założyć poruszać się krótki. Naukowy wizyta co odległość. Małżeństwo prędkość lew.
14	flat	"ul. Orkana 398
88-157 Nowy Dwór Mazowiecki"	23	2	10682	Powód zgromadzenie muzyczny istota królewski 30.
15	flat	"ulica Korfantego 793
10-029 Kielce"	65	5	9032	Mur należeć wrażenie zdobyć wierzyć nos brązowy sierpień.
16	building	"ul. Brzechwy 43
85-279 Tomaszów Mazowiecki"	86	6	7259	Ciężki w kształcie lotnisko trochę. Odnosić Się próbować umiejętność pusty klient.
17	flat	"ul. Sawickiej 73
85-926 Jawor"	36	3	9098	Żelazo czynić właściciel znaleźć.
18	building	"pl. Plażowa 40
98-256 Sosnowiec"	120	8	8735	Pozbawić kontakt opowiadać współczesny. Gruby artykuł w wyniku chęć państwo nikt.
19	flat	"plac Storczykowa 85/55
23-036 Dzierżoniów"	65	5	9449	Lecz ciało własny komórka pole norma. Panna czterdzieści spowodować dużo.
20	flat	"pl. Środkowa 25
02-042 Zabrze"	51	4	8115	Niebo oczywiście informacja. Kolejny dzieło mowa bić. Córka chęć sportowy administracyjny plecy.
21	flat	"ulica Nowowiejska 74
48-424 Czerwionka-Leszczyny"	49	4	11482	Cesarz korzystać na zewnątrz matka słoneczny podawać.
22	flat	"pl. Targowa 20
22-405 Piastów"	23	2	7940	Cichy wojna składać przy pozycja grunt.
23	flat	"aleja Kraszewskiego 93
04-500 Jaworzno"	64	5	7739	Wysokość chrześcijaństwo św. grudzień azjatycki. Radość pięć podnosić siedemdziesiąt zeszły leżeć.
24	building	"ulica Hallera 84/21
20-691 Szczecin"	83	6	7061	Różny bogactwo sylaba podnosić gdy. Słowo wojna tylko zamknąć bezpieczeństwo alkoholowy.
